,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000271895.2|AL109811.3,26,30,27,37,17,16,28,16
ENSG00000116649.9|SRM,244,246,215,305,1268,388,465,681
ENSG00000171824.13|EXOSC10,1196,1212,823,1183,974,1137,818,1087
ENSG00000226849.1|AL109811.1,2,0,0,0,0,0,0,0
ENSG00000230337.1|AL109811.2,15,6,10,12,9,4,9,13
ENSG00000198793.12|MTOR,485,418,575,995,728,703,352,795
ENSG00000225602.5|MTOR-AS1,0,0,0,0,0,0,0,2
ENSG00000253086.1|RNU6-537P,0,0,0,0,0,0,0,0
ENSG00000171819.4|ANGPTL7,1,1,20,15,0,0,23,19
ENSG00000207451.1|RNU6-291P,0,0,0,0,0,0,0,0
ENSG00000238173.1|RPL39P6,0,0,0,0,0,0,0,0
ENSG00000120942.13|UBIAD1,420,420,387,457,279,373,384,429
ENSG00000238199.1|UBE2V2P3,0,0,0,0,2,0,0,0
ENSG00000284646.1|AL031291.1,0,0,0,0,0,0,0,0
ENSG00000224338.2|MTCYBP45,0,0,0,0,0,0,0,0
ENSG00000204624.7|DISP3,0,1,0,2,10,12,1,7
